,bin_mean.mean,bin_mean.sd,cao_e1.mean,cao_e1.sd,cao_e2.mean,cao_e2.sd,diff.mean,diff.sd,emb_dim_cao,emb_lag,embed_in_shell,fnn_prop.mean,fnn_prop.sd,force_potential.mean,force_potential.sd,frac_cp,fs_len.mean,fs_len.sd,length,moving_threshold.mean,moving_threshold.sd,peak_frac,period,pred.mean,pred.sd,step_changes.mean,step_changes.sd,step_changes_trend.mean,step_changes_trend.sd,stick_angles.mean,stick_angles.sd,trough_frac,turning_points.mean,turning_points.sd,turning_points_trend.mean,turning_points_trend.sd,walker_cross_frac,walker_path.mean,walker_path.sd
0,0.6,0.5,0.882197804817211,0.2069484998208755,0.9979021012083151,0.18057764741219923,-34.07314846249589,275.4244195005829,2,1,,1.0,0.0,4647.6078444531895,3692.422019602709,0.041666666666666664,,,25,6874.695159007687,1603.1064025338624,0.45454545454545453,11,610288.7975531386,656140.1129812986,0.21739130434782608,0.42174116783664994,0.08695652173913043,0.28810406552003043,,,0.2727272727272727,0.52,0.5099019513592785,0.0,0.0,0.0,7042.50633092605,480.3329905612765
1,0.52,0.5099019513592785,0.892757826774208,0.22879205789397902,0.9984742710715355,0.3085640039774866,-38.084012967787466,244.50589868321669,8,1,,1.0,0.0,4890.367054031903,3894.502026704841,0.20833333333333334,,,25,7283.128022390082,1657.3805042672034,0.3333333333333333,12,696865.2199330813,795587.2508663213,0.21739130434782608,0.42174116783664994,0.08695652173913043,0.28810406552003043,,,0.25,0.68,0.4760952285695233,0.0,0.0,0.0,7400.453431741526,521.9580198682186
2,0.64,0.48989794855663565,0.878804271845454,0.30788219397965966,0.9882714365850662,0.33723317374111134,-46.90281513898333,241.64288607907903,1,1,,1.0,0.0,4797.045162858636,3808.5098256175684,0.20833333333333334,,,25,7145.117163025206,1646.454802561243,1.0,2,690443.7775528172,772059.2115084592,0.21739130434782608,0.42174116783664994,0.2608695652173913,0.4489777585448795,,,0.5,0.36,0.48989794855663565,0.32,0.47609522856952335,0.0,7249.53478265764,516.119805103556
3,0.52,0.5099019513592785,0.8900414258630612,0.21573314624063086,1.007332713846767,0.40138582866339717,-27.660842276454144,230.59129409366437,3,1,,1.0,0.0,4749.208123842289,3782.949359892494,0.16666666666666666,,,25,7031.715721028698,1652.4446294620716,0.8333333333333334,12,862304.0160141507,991704.5298386575,0.21739130434782608,0.42174116783664994,0.08695652173913043,0.28810406552003043,,,0.3333333333333333,0.56,0.5066228051190221,0.0,0.0,0.0,7164.849716963853,577.4833093117944
4,0.56,0.5066228051190221,0.8983216727689318,0.23288501540496703,0.9536994345262515,0.2545760154701675,-46.05630262542494,212.39427662976502,8,1,,1.0,0.0,4987.495666582208,3958.966385000272,0.041666666666666664,,,25,7318.6706675164405,1749.0948728268693,1.0,4,1250619.8188240624,1443864.2962921953,0.391304347826087,0.4990108793478454,0.34782608695652173,0.486984753557674,,,0.25,0.52,0.5099019513592785,0.08,0.27688746209726917,0.0,7439.7272854171715,700.9496122742628
5,0.48,0.5099019513592785,0.8677164029954991,0.27594906588459506,0.9901566118039693,0.2499846452199509,-13.258551287737456,214.08624923440382,5,1,,1.0,0.0,4523.1895207177595,3607.9707850679065,0.041666666666666664,,,25,6898.117376386916,1523.3830671489404,0.2,5,264694.30190451734,288333.8478090066,0.2608695652173913,0.4489777585448795,0.08695652173913043,0.28810406552003043,,,0.4,0.44,0.5066228051190221,0.08,0.27688746209726917,0.0,6966.901221721605,313.7358093782284
6,0.52,0.5099019513592785,0.8877586956066835,0.24069831855649518,0.9946891591466412,0.2355859367453542,-21.38682736928331,233.9284952188518,6,1,,1.0,0.0,4634.8606712730825,3715.9103063785615,0.25,,,25,6979.660823959459,1574.4679409922642,1.0,2,507292.16690102755,550266.2611735207,0.30434782608695654,0.4704719688969648,0.391304347826087,0.4990108793478454,,,0.5,0.6,0.5,0.2,0.4082482904638631,0.0,7112.882692266974,432.7911789790812
7,0.56,0.5066228051190221,0.8763393565241999,0.2343919705111743,1.013822859515981,0.3185083537158021,-27.484932873283356,207.5897070224839,6,1,,1.0,0.0,4719.2802468177315,3767.6751571714535,0.2916666666666667,,,25,7125.2513022593,1587.0871350870416,0.3333333333333333,12,329406.6687252936,362797.53600866476,0.21739130434782608,0.42174116783664994,0.08695652173913043,0.28810406552003043,,,0.25,0.64,0.48989794855663565,0.0,0.0,0.0,7243.011687200796,352.2603084314692
8,0.52,0.5099019513592785,0.8892714622917629,0.2171959014181873,1.0076117335587185,0.3490868624068795,-13.546840331066695,204.36635723928097,2,1,,1.0,0.0,4907.856320982829,3931.4673887876647,0.25,,,25,7448.596635385204,1641.0797249993977,0.5,4,419323.0344781423,465408.7591639119,0.13043478260869565,0.34435022157509093,0.17391304347826086,0.3875533878815898,,,0.25,0.68,0.47609522856952335,0.08,0.27688746209726917,0.0,7545.529426797498,398.16429181315755
9,0.56,0.5066228051190221,0.8866764286798204,0.2312998328433474,0.989833583385127,0.16706495877977298,-15.05213278898331,230.21742385359445,6,1,,1.0,0.0,4419.440018322452,3518.2297381576004,0.041666666666666664,,,25,6657.098213771395,1481.769945677549,0.5,4,426477.25165594125,440639.729930133,0.2608695652173913,0.4489777585448795,0.30434782608695654,0.4704719688969648,,,0.25,0.56,0.5066228051190221,0.08,0.27688746209726917,0.0,6744.734724261787,389.87443785010396
