,bin_mean.mean,bin_mean.sd,cao_e1.mean,cao_e1.sd,cao_e2.mean,cao_e2.sd,diff.mean,diff.sd,emb_dim_cao,emb_lag,embed_in_shell,fnn_prop.mean,fnn_prop.sd,force_potential.mean,force_potential.sd,frac_cp,fs_len.mean,fs_len.sd,length,moving_threshold.mean,moving_threshold.sd,peak_frac,period,pred.mean,pred.sd,step_changes.mean,step_changes.sd,step_changes_trend.mean,step_changes_trend.sd,stick_angles.mean,stick_angles.sd,trough_frac,turning_points.mean,turning_points.sd,turning_points_trend.mean,turning_points_trend.sd,walker_cross_frac,walker_path.mean,walker_path.sd
0,0.3181818181818182,0.4767312946227962,0.8738713424951217,0.28968928613586564,0.9836724661325653,0.2154260286757519,10.24428571428571,166.0177874377149,2,1,,1.0,0.0,669.7763067796704,568.4498297914065,0.23809523809523808,,,22,1440.5534531782612,444.9283160628727,1.0,3,97527.18412939337,128384.66491347298,0.25,0.4442616583193193,0.4,0.5026246899500346,,,0.6666666666666666,0.5,0.511766315719159,0.045454545454545456,0.2132007163556105,0.0,1381.811887741637,227.04113593862297
1,0.2727272727272727,0.4558423058385518,0.8805438806294477,0.2744261934930416,1.0472646656268947,0.09798437493812355,549.9428571428571,1079.687124389019,4,1,,1.0,0.0,2691.6106769434523,2314.2959008404064,0.14285714285714285,,,22,6870.033260434784,3626.3147571376535,0.3333333333333333,6,12116541.592686411,16648256.177059306,0.65,0.48936048492959283,0.65,0.48936048492959283,,,0.8333333333333334,0.2727272727272727,0.4558423058385519,0.09090909090909091,0.29424494316824984,0.0,6710.656115239154,2959.4836386250895
2,0.5909090909090909,0.5032362797401965,0.9130956879702636,0.20936461644876164,1.0277527871073642,0.14606090145159814,154.2761904761905,525.1678502200625,2,1,,1.0,0.0,3016.890064285573,2675.660211982579,0.14285714285714285,,,22,6956.599965217391,2270.0790566085993,0.3333333333333333,3,5513248.052388951,6262860.439689444,0.3,0.4701623459816272,0.35,0.48936048492959283,,,1.0,0.22727272727272727,0.42893202722888846,0.13636363636363635,0.35125008665710444,0.0,6967.567310457004,1579.3571616681272
3,0.45454545454545453,0.5096471914376255,0.90164290241337,0.19294442219623678,1.0124857870450172,0.19785575793218504,117.82857142857141,293.5040564333943,3,1,,1.0,0.0,4593.860471369209,3843.2425928014195,0.047619047619047616,,,22,9425.543795652178,2341.6598960406914,0.7142857142857143,7,2301964.029437433,2621996.369772123,0.55,0.5104177855340404,0.1,0.30779350562554625,,,0.14285714285714285,0.5454545454545454,0.5096471914376255,0.0,0.0,0.0,9606.173447367275,1033.4682140524444
4,0.5909090909090909,0.5032362797401965,0.9072508448978523,0.23484216409919276,0.999282260513001,0.17288859506940898,-2.9271428571428584,70.54333428062904,3,1,,1.0,0.0,725.163410649838,604.663438809027,0.19047619047619047,,,22,1429.2363460869567,349.17123350547865,0.3333333333333333,3,33459.18009034535,36499.17814925319,0.3,0.4701623459816272,0.35,0.48936048492959283,,,0.6666666666666666,0.18181818181818182,0.3947710169758613,0.18181818181818182,0.3947710169758613,0.0,1454.0584227065947,119.77964963021718
5,0.4090909090909091,0.5032362797401964,0.8970746819103529,0.2163471090158123,1.007313774057153,0.16572723621191093,102.93333333333331,276.25536797197856,8,1,,1.0,0.0,3294.6898126587807,2692.487620181682,0.14285714285714285,,,22,6497.102608695653,1628.1090036239748,0.4,5,646881.4188096009,743047.5254201597,0.3,0.4701623459816272,0.5,0.512989176042577,,,0.6,0.22727272727272727,0.42893202722888846,0.09090909090909091,0.29424494316824984,0.0,6617.587324384268,600.857981573984
6,0.5,0.511766315719159,0.9254859626727608,0.21391496989229875,1.048494708528447,0.19759893493126365,17.12857142857143,78.80301214330031,2,1,,1.0,0.0,494.68367223514724,418.23046758907145,0.047619047619047616,,,22,1067.5200030434783,306.5509295716373,1.0,2,68900.92121790154,78358.83549644146,0.4,0.5026246899500346,0.55,0.5104177855340404,,,0.5,0.5,0.511766315719159,0.22727272727272727,0.42893202722888846,0.0,1075.4231938818345,175.84744446789531
7,0.5,0.511766315719159,0.8717383983491789,0.235131532482161,1.0016086907423505,0.25406295487998104,3.9204761904761924,19.758060247957125,8,1,,1.0,0.0,501.4184511882011,412.1451140595459,0.23809523809523808,,,22,983.8016286956525,228.8589465205078,1.0,2,3906.840609020344,4278.453512052651,0.3,0.4701623459816272,0.4,0.5026246899500346,,,0.5,0.5454545454545454,0.5096471914376255,0.18181818181818182,0.3947710169758613,0.0,994.9089122097336,40.95217522942271
8,0.5,0.511766315719159,0.8936857565964912,0.23343968445731988,0.987376993866636,0.10904202616437646,75.73809523809524,262.0963934818458,4,1,,1.0,0.0,4771.727543435115,3944.6338553705555,0.047619047619047616,,,22,9543.801495652175,2264.9456834117505,1.0,2,1033209.4229683508,1174133.719923459,0.5,0.512989176042577,0.5,0.512989176042577,,,0.5,0.45454545454545453,0.5096471914376255,0.18181818181818182,0.3947710169758613,0.0,9678.355847604143,690.4881078315767
9,0.6363636363636364,0.49236596391733095,,,,,-10.562857142857146,11.201936949857009,4,2,,,,616.0222514756435,494.83733357366265,0.047619047619047616,,,22,1093.0171613043478,266.12905074812323,0.5,4,12279.06406329665,14277.909660046309,0.4,0.5026246899500346,0.6,0.5026246899500346,,,1.0,0.045454545454545456,0.21320071635561044,0.0,0.0,0.0,1129.3485756601503,80.97139116018229
