,local_extrema.mean,local_extrema.sd,local_range.mean,local_range.sd,lumpiness.mean,lumpiness.sd,moving_acf.mean,moving_acf.sd,moving_acf_shift.mean,moving_acf_shift.sd,moving_approx_ent.mean,moving_approx_ent.sd,moving_avg.mean,moving_avg.sd,moving_avg_shift.mean,moving_avg_shift.sd,moving_gmean.mean,moving_gmean.sd,moving_gmean_shift.mean,moving_gmean_shift.sd,moving_kldiv.mean,moving_kldiv.sd,moving_kldiv_shift.mean,moving_kldiv_shift.sd,moving_kurtosis.mean,moving_kurtosis.sd,moving_kurtosis_shift.mean,moving_kurtosis_shift.sd,moving_lilliefors.mean,moving_lilliefors.sd,moving_sd.mean,moving_sd.sd,moving_sd_shift.mean,moving_sd_shift.sd,moving_skewness.mean,moving_skewness.sd,moving_skewness_shift.mean,moving_skewness_shift.sd,moving_var.mean,moving_var.sd,moving_var_shift.mean,moving_var_shift.sd,stability.mean,stability.sd
0,,,,,,,-0.39226501440856254,0.37785798368166545,0.40785655912114405,0.3602898803893727,-0.6931471805599453,0.0,1391.9443333333334,202.0096733341868,65.1084210526316,85.7659381320156,1388.0184705771385,196.72871167881175,64.18413799401256,83.89213583340123,0.09241962407465745,0.20665656188591022,0.11552453009332193,0.23104906018664365,-2.333333333333334,7.53575513317411e-15,7.36253163698788e-15,1.0551016950055373e-14,,,94.97672195209401,106.29486612960267,42.80634102192289,63.32922403416678,0.0158677915625278,0.2737523480552195,0.3294156599358525,0.2522081159628961,19754.246350000023,35138.80282175239,15602.65043333334,29771.272847871805,,
1,,,,,,,-0.2549912357720064,0.36700104633246666,0.32730969784788705,0.37018071010050574,-0.6931471805599453,0.0,6413.719999999996,2216.101746835528,571.3859649122805,704.5160399400526,6372.301709059028,2171.4663237044665,560.9486555851231,697.5637426348515,0.13202803439236935,0.22548079469083823,0.15403270679109896,0.23862644326926727,-2.333333333333333,6.602646799747342e-16,8.414321870843291e-16,6.602646799747342e-16,,,772.4365896220586,718.2945674497087,240.03827620817106,303.17422864638746,0.06320339419537604,0.22257736808435705,0.20463007048755236,0.2017034475967165,1086808.0163333325,1774026.1349374577,519006.0936842105,891740.9545474949,,
2,,,,,,,-0.17411906965250382,0.21099024688668266,0.2578009572501973,0.21304038754843646,-0.6931471805599453,0.0,7026.586666666664,1488.0297156138065,322.9421052631577,224.70216469810222,7015.65387705295,1486.69744215953,323.9181342874605,227.4431627811334,-1.2335811384701172e-17,2.1366252070889015e-17,3.7007434154103517e-17,0.0,-2.3333333333333326,2.2529307890328182e-15,2.150326700326619e-15,2.890422882672013e-15,,,415.3642919344197,256.3198279408027,207.84910362741977,170.3735431871724,-0.03864035429669942,0.2603062881044348,0.2938520587448372,0.20317965454856493,234942.35650000436,261106.6729719825,198242.02578947353,214521.73500483015,,
3,,,,,,,-0.4360080589485734,0.3274444488968727,0.36914600583854695,0.29249055481819963,-0.6931471805599453,0.0,9588.371666666668,974.2217317455323,171.2526315789477,112.77693667764584,9586.184827772022,973.4855740485756,171.41610567130823,113.1131221986913,0.2772588722239781,0.2531015643091922,0.34657359027997253,0.23104906018664828,-2.3333333333333313,1.3077733756338135e-14,9.092142243772334e-15,1.5260256544323788e-14,,,216.5797685890062,137.66635552465513,112.95506995328518,104.59300745782822,-0.08602409434409257,0.27441704505148157,0.4047527736616409,0.23081846147704865,64911.220333336176,73554.08942024493,51668.90280701742,67493.14218861194,,
4,,,,,,,-0.1918055900366748,0.2687025687184549,0.3009923105274077,0.30500675469496624,-0.6931471805599453,0.0,1461.2656666666662,111.90360228694745,39.77859649122806,25.258475201913186,1460.4952787370735,112.08916136554626,39.99906747471664,25.75960757527872,-2.4671622769459668e-17,4.2732504141877316e-17,3.70074341541895e-17,5.2336415289484085e-17,-2.333333333333334,4.189529226675416e-15,4.464265214808524e-15,4.67753750019315e-15,,,51.24735496362838,26.38181968170237,22.202678650947966,20.636937625324936,-0.06355730642510031,0.25059179327224984,0.2869178652148943,0.19124504706389836,3287.4917800000926,3496.6521093578112,2374.007401754388,3168.327611239879,,
5,,,,,,,-0.17367583170819823,0.254308955650076,0.24107508845393988,0.2554680277217087,-0.6931471805599453,0.0,6569.721666666667,478.35737164062203,163.04035087719282,108.88428197677766,6566.856806796493,476.32732871461985,162.07106542148918,106.95296798822534,4.6259292692723665e-17,9.251858538544733e-17,6.167905692363156e-17,1.0683126035466278e-16,-2.3333333333333335,1.9807940399242023e-15,2.1035804677108228e-15,1.900566380322456e-15,,,202.5343772268803,139.97722637324105,112.17535274068635,81.75366388722242,0.11706909816513018,0.19860002177173997,0.1808483653380777,0.13931771058253203,59634.11666666854,80123.89850250666,55422.90929824549,66136.33290956575,,
6,,,,,,,-0.3292273137301619,0.27979885502891905,0.27208729191978615,0.2819509695671258,-0.6931471805599453,0.0,1072.0918333333332,163.32088372701844,30.233508771929827,25.319997793031444,1071.0427437440496,162.45384700496692,30.1378938651636,25.107805998008445,0.15403270679109807,0.23862644326926896,0.36967849629863514,0.206656561885913,-2.333333333333333,1.8591547366258626e-15,1.42576009478178e-15,1.556629268996165e-15,,,50.08131844472551,36.39537026424585,24.259706069465512,22.46960530800635,-0.08128754652034811,0.25530032497992894,0.2281049991295346,0.22089887630911825,3766.5302849999775,5281.916350546466,3090.013614035086,4667.236008493726,,
7,,,,,,,-0.38332050302081894,0.29509851944259335,0.37891830798009957,0.2539637496550057,-0.6931471805599453,0.0,993.1979999999996,37.77454227045889,8.534385964912255,5.269211065250887,993.116799650987,37.745748043493016,8.532100671753089,5.262231009135861,0.3080654135821979,0.2386264432692705,0.27725887222397805,0.25310156430919206,-2.3333333333333344,8.369142404369967e-15,7.993605777301127e-15,9.062515398865618e-15,,,13.983035793901095,7.220895239231426,7.537652267227565,5.217966074219899,-0.06548019825734261,0.2813924269851288,0.3016926455749777,0.2088054996748232,245.05955166667664,225.09294914743776,217.41424736842026,189.45487580366398,,
8,,,,,,,-0.4279798057187281,0.3721597113388839,0.4711812091129297,0.3089387721479935,-0.6931471805599453,0.0,9652.325,636.3474718246775,114.1368421052627,87.86027480175056,9650.814529841376,635.4908030493909,114.09338641889256,87.90874215585461,0.15403270679109898,0.26679247418954305,0.23104906018664845,0.32675271448951565,-2.3333333333333335,5.597897952359386e-15,5.609547913895528e-15,4.519662105259976e-15,,,185.1047671866597,107.52213479880666,93.5428906071453,74.8905512262308,-0.041504343563940393,0.2513146588780718,0.24719768800933276,0.16995042792352297,45246.73383333561,53439.67255667033,40687.8578947369,47462.977078514574,,
9,,,,,,,-0.06997253438403281,0.12257212521565043,0.07400892235835597,0.11837447389755908,-0.6931471805599453,0.0,1130.7724999999998,76.19935857871126,11.621578947368443,9.518128471009552,1130.7027542861968,76.23603042575341,11.62063409076868,9.521842741347504,0.15403270679089193,0.23862644326894977,0.18483924814930305,0.2531015643086395,-2.3333333333333126,8.099594893293574e-14,4.3801219961000914e-14,1.0418761616001505e-13,,,11.682523154390204,9.848191003917695,4.583332159361962,3.3852940367767403,0.032753233022709674,0.21433513286497943,0.15595339116714307,0.13138583330804038,228.6188700000264,334.89721562910256,133.02650701754393,156.17909579110906,,
